Continent,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
South America,Colombia,COL,,,,,,,,,,,6.7591,6.7591,7.1318,7.6894,8.6005,9.3034,9.9214,10.3179,11.0206,11.5013,11.7808,11.9425,12.4871,13.0919,13.4981,13.9541,14.2176,14.6488,15.8694,16.2108,16.35,17.0882,18.0051,18.2723,17.036,20.3298,20.8575,21.8735,21.4051,19.0812,18.5607,19.4611,17.2645,17.7307,20.2411,19.846,20.8053,21.7745,22.0883,20.4024,20.6327,25.0198,26.3792,24.8722,25.8662,27.9866,29.224,29.2268,29.7986,31.2943,26.9513,34.5744,36.0946,36.7
Africa,Comoros,COM,,,,,,,,,,,0.0027,0.0027,0.0029,0.0032,0.0032,0.004,0.0051,0.0065,0.007,0.0078,0.0083,0.0088,0.0081,0.0086,0.0088,0.0081,0.005,0.011,0.0139,0.0136,0.0177,0.0213,0.0187,0.0183,0.0183,0.0192,0.0198,0.0198,0.0251,0.0264,0.0428,0.0447,0.0465,0.0609,0.0685,0.0673,0.0816,0.0552,0.0573,0.0707,0.0815,0.0701,0.0747,0.0914,0.0764,0.0854,0.1053,0.1363,0.1469,0.1783,0.1894,0.193,0.1805,0.1808
North America,Costa Rica,CRI,,,,,,,,,,,0.6765,0.6765,0.7683,0.8404,0.9115,0.9911,1.0833,1.1788,1.3122,1.3421,1.334,1.1785,1.0506,1.0887,1.1644,1.1963,1.3106,1.3847,1.563,1.6772,1.5874,1.6489,2.3919,2.4693,2.5942,2.5887,2.6097,2.6729,2.959,3.0745,2.9733,3.17,3.5067,3.5889,3.8548,3.774,3.9755,4.2737,4.3806,4.4357,4.5621,4.6759,4.7946,4.8728,4.9734,5.3128,5.7483,5.8638,5.8752,5.9683,4.9903,5.6899,5.7069,6.0686
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,Croatia,HRV,,,,,,,,,,,4.1313,4.1313,3.5968,3.4486,3.5721,3.3535,3.3171,3.2948,3.658,3.5205,3.1898,3.1522,2.9422,2.8941,2.7149,3.0114,3.7363,3.3048,3.6754,3.5236,3.5662,2.8466,2.6915,2.8251,3.0211,3.2108,3.5971,3.8029,3.9377,4.2296,4.3181,4.3764,4.6834,5.0837,5.2249,5.428,5.7815,6.2127,6.15,6.1123,5.87,5.7552,5.5454,5.6309,5.5756,5.8866,6.1013,6.5731,6.3365,6.5107,5.7055,6.1622,6.7436,6.8918
North America,Cuba,CUB,,,,,,,,,,,4.1536,4.1536,4.0414,4.4141,4.3206,4.5755,4.5843,4.7734,5.0195,5.2942,5.3034,5.547,5.3013,5.3379,5.6632,5.4652,5.6266,5.5916,5.8617,5.6793,5.0742,3.7244,2.5966,1.9473,1.8939,1.9711,2.1989,2.7555,2.4874,2.3516,2.1685,2.2132,2.063,1.8908,1.9715,1.914,1.8279,1.847,1.818,1.413,1.2465,1.2172,1.0607,1.2369,1.3994,1.4969,1.4889,1.6331,1.6209,1.4663,1.2075,1.1686,1.1615,1.2207
Asia,Cyprus,CYP,,,,,,,,,,,0.6008,0.6008,0.6623,0.7366,0.5419,0.4399,0.4711,0.5144,0.5732,0.5982,0.6206,0.6175,0.6517,0.7109,0.7639,0.7979,0.8446,0.9162,0.9596,1.0315,1.1661,1.162,1.3083,1.3278,1.3805,1.4661,1.5167,1.5829,1.6588,1.7023,1.7433,1.7989,1.7817,1.8868,1.9878,2.0264,2.0141,2.1471,2.1884,2.1893,2.2371,2.17,1.9981,1.7952,1.7503,1.8189,1.9318,2.0045,2.0165,2.0354,1.7724,1.9044,1.8804,1.8772
Europe,Denmark,DNK,,,,,,,,,,,7.282,7.4549,7.6805,8.0122,7.9113,8.6619,8.8692,9.074,9.3038,9.2988,8.98,8.7198,8.8036,8.7433,9.3002,10.7809,11.2279,11.0468,11.0526,11.357,10.1866,10.7487,10.8078,10.9743,11.3946,11.5985,11.723,11.8975,11.9272,11.9566,11.9312,12.0252,12.1754,12.6557,12.9527,13.1708,13.465,14.0223,13.8706,13.1382,12.9903,12.6437,11.5874,11.3805,11.4728,12.0009,12.1562,12.1424,12.3077,12.0384,11.0476,11.1979,11.1572,11.2366
Africa,Djibouti,DJI,,,,,,,,,,,0.0898,0.0898,0.0966,0.1064,0.108,0.1327,0.1693,0.2178,0.2339,0.2596,0.2759,0.235,0.2168,0.1724,0.146,0.1357,0.1376,0.1431,0.1768,0.399,0.4495,0.5609,0.4968,0.4915,0.5034,0.5258,0.541,0.5465,0.5547,0.5833,0.3526,0.3519,0.367,0.3894,0.3899,0.3774,0.3675,0.3916,0.4391,0.3921,0.4277,0.315,0.4126,0.4349,0.4129,0.3853,0.3666,0.3216,0.3329,0.3424,0.3637,0.3706,0.3465,0.3471
North America,Dominica,DMA,,,,,,,,,,,0.0005,0.0005,0.0004,0.0005,0.0005,0.0007,0.0008,0.0008,0.0008,0.0007,0.001,0.0016,0.0017,0.0018,0.002,0.002,0.0017,0.0026,0.003,0.0032,0.0064,0.0066,0.0068,0.0068,0.0093,0.0114,0.0114,0.0122,0.0127,0.0131,0.0107,0.0114,0.0104,0.0121,0.0135,0.0138,0.0154,0.0202,0.0196,0.0218,0.0259,0.0186,0.0186,0.0208,0.0238,0.026,0.0275,0.0246,0.0263,0.0306,0.0228,0.0253,0.0259,0.0276
North America,Dominican Republic,DOM,,,,,,,,,,,1.4174,1.4174,1.4948,1.5698,1.6716,1.7456,1.8101,1.8427,1.7894,1.9294,1.7883,1.5089,1.4819,1.7448,1.967,1.9655,2.1004,2.6309,2.3019,3.0974,2.3113,2.2799,2.4548,2.6589,3.1522,3.5149,3.8893,4.4629,4.8831,5.195,5.3288,5.3435,5.7333,5.2576,5.4405,5.7621,5.8636,5.9526,5.4372,5.6386,5.7405,6.0461,6.5581,5.7898,5.0468,6.1304,6.6324,6.5117,7.165,7.6422,6.8634,8.0054,7.9774,8.3823
South America,Ecuador,ECU,,,,,,,,,,,1.844,1.844,1.8287,2.0634,2.243,2.6572,2.9504,3.6015,4.1858,3.4574,3.9907,4.5772,4.729,4.8377,5.4218,5.7576,5.9415,5.7335,6.9283,6.7039,7.8258,8.0145,8.1337,8.1603,8.6764,8.2655,10.0684,10.6663,9.9784,9.047,7.9866,8.4817,8.8236,9.1504,9.4747,9.9057,10.2021,10.0032,9.9595,10.4831,12.6618,13.7021,14.1772,15.123,16.2568,16.9254,17.1022,18.1983,19.1607,19.457,15.8337,19.1629,20.4313,21.8914
North America,El Salvador,SLV,,,,,,,,,,,0.5669,0.5669,0.6363,0.671,0.6909,0.7605,0.8682,0.9475,1.0678,1.0839,0.8556,0.8056,0.8373,0.8463,0.8781,0.9575,0.9449,1.0525,1.1317,1.1857,1.2662,1.3809,1.5982,1.7466,1.8599,2.1169,2.0966,2.1339,2.2908,2.6064,2.5252,2.5407,2.4657,2.6839,2.8371,3.0572,2.9427,3.151,2.9544,3.0567,3.0128,3.1119,2.7371,2.7762,2.797,3.2954,3.4421,3.3642,3.4747,3.7418,3.1927,3.9277,4.1464,4.407
Africa,Equatorial Guinea,GNQ,,,,,,,,,,,0.0124,0.0124,0.0124,0.0124,0.0124,0.0155,0.0124,0.0124,0.0155,0.0124,0.0093,0.0124,0.0124,0.0062,0.0093,0.0031,0.0062,0.0124,0.0124,0.0124,0.0126,0.0126,0.0126,0.0158,0.0157,0.0189,0.0382,0.0925,0.0796,0.118,0.1821,0.2139,0.2939,0.3385,0.3543,0.3923,0.4335,0.4589,0.4714,0.4903,0.5091,0.5311,0.55,0.5752,0.594,0.6098,0.6255,0.5075,0.4767,0.5202,0.4327,0.441,0.5069,0.5321
Africa,Eritrea,ERI,,,,,,,,,,,0.061,0.061,0.0584,0.0653,0.0669,0.0613,0.0634,0.0683,0.0797,0.081,0.0774,0.0826,0.0767,0.0773,0.0713,0.074,0.0908,0.1253,0.1311,0.1361,0.1328,0.1336,0.1149,0.2107,0.2875,0.3291,0.3836,0.361,0.2294,0.2101,0.2039,0.2485,0.2708,0.2742,0.2555,0.1823,0.1598,0.1373,0.1213,0.1181,0.1404,0.2365,0.2075,0.1947,0.1917,0.1917,0.1981,0.1934,0.215,0.2231,0.2177,0.2251,0.2098,0.2105
